PID,NAME,RA,DEC,RA_d,DEC_d,EPOC,STATUS,ADD,mjd,filter,mag lim
HYDRA_D,HYDRA_D_0001,10:33:25,-34:38:06,158.3541667,-34.635,2000,1,1,,,
HYDRA_D,HYDRA_D_0002,10:26:43,-34:37:55,156.6791667,-34.63194444,2000,1,1,,,
HYDRA_D,HYDRA_D_0003,10:33:28,-36:00:19,158.3666667,-36.00527778,2000,1,1,,,
HYDRA_D,HYDRA_D_0004,10:26:40,-36:00:29,156.6666667,-36.00805556,2000,1,1,,,
HYDRA,HYDRA_0001,10:04:04,-22:30:56,151.0166667,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0002,10:10:10,-22:30:56,152.5416667,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0003,10:16:16,-22:30:56,154.0666667,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0004,10:22:22,-22:30:56,155.5916667,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0005,10:28:28,-22:30:56,157.1166667,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0006,10:34:35,-22:30:56,158.6458333,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0007,10:40:41,-22:30:56,160.1708333,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0008,10:46:47,-22:30:56,161.6958333,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0009,10:52:53,-22:30:56,163.2208333,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0010,10:58:59,-22:30:56,164.7458333,-22.51555556,2000,-10,-99,,,
HYDRA,HYDRA_0011,10:03:05,-23:54:31,150.7708333,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0012,10:09:14,-23:54:31,152.3083333,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0013,10:15:23,-23:54:31,153.8458333,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0014,10:21:32,-23:54:31,155.3833333,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0015,10:27:42,-23:54:31,156.925,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0016,10:33:51,-23:54:31,158.4625,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0017,10:40:00,-23:54:31,160,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0018,10:46:09,-23:54:31,161.5375,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0019,10:52:18,-23:54:31,163.075,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0020,10:58:28,-23:54:31,164.6166667,-23.90861111,2000,1,1,,,
HYDRA,HYDRA_0021,10:04:41,-25:18:01,151.1708333,-25.30027778,2000,1,1,,,
HYDRA,HYDRA_0022,10:10:55,-25:18:01,152.7291667,-25.30027778,2000,1,1,,,
HYDRA,HYDRA_0023,10:17:09,-25:18:01,154.2875,-25.30027778,2000,1,1,,,
